"","Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"212","Gonzalez","2","F","UM","UM21",0.5625,NA,0.5625,0.5625,0.5625,NA,NA,0.5625
"213","Gonzalez","2","F","UM","UM23",0.3125,NA,0.3125,0.3125,0.3125,NA,NA,0.3125
"214","Gonzalez","2","F","UM","UM26",1,NA,1,1,1,NA,NA,1
"215","Gonzalez","2","F","UM","UM29",0.80952381,NA,0.80952381,0.80952381,0.80952381,NA,NA,0.80952381
"216","Gonzalez","2","F","UM","UM4",0.7,NA,0.7,0.7,0.7,NA,NA,0.7
"217","Gonzalez","2","F","UM","UM5",1,NA,1,1,1,NA,NA,1
"218","Gonzalez","2","F","UM","UM9",0.95,NA,0.95,0.95,0.95,NA,NA,0.95
"219","Gonzalez","2","F","VA","VA1",0.894736842,NA,0.894736842,0.894736842,0.894736842,NA,NA,0.894736842
"220","Gonzalez","2","F","VA","VA11",0.75,NA,0.75,0.75,0.75,NA,NA,0.75
"221","Gonzalez","2","F","VA","VA15",0.894736842,NA,0.894736842,0.894736842,0.894736842,NA,NA,0.894736842
"222","Gonzalez","2","F","VA","VA18",0.947368421,NA,0.947368421,0.947368421,0.947368421,NA,NA,0.947368421
"223","Gonzalez","2","F","VA","VA22",0.944444444,NA,0.944444444,0.944444444,0.944444444,NA,NA,0.944444444
"224","Gonzalez","2","F","VA","VA26",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"225","Gonzalez","2","F","VA","VA34",0.894736842,NA,0.894736842,0.894736842,0.894736842,NA,NA,0.894736842
"226","Gonzalez","2","F","VA","VA35",0.95,NA,0.95,0.95,0.95,NA,NA,0.95
"227","Gonzalez","2","F","VA","VA44",0.789473684,NA,0.789473684,0.789473684,0.789473684,NA,NA,0.789473684
"228","Gonzalez","2","F","VA","VA46",0.4,NA,0.4,0.4,0.4,NA,NA,0.4
"229","Gonzalez","2","F","VA","VA55",0.947368421,NA,0.947368421,0.947368421,0.947368421,NA,NA,0.947368421
"230","Gonzalez","2","F","VA","VA57",0.352941177,NA,0.352941177,0.352941177,0.352941177,NA,NA,0.352941177
"231","Gonzalez","2","F","VA","VA66",0.52631579,NA,0.52631579,0.52631579,0.52631579,NA,NA,0.52631579
"232","Gonzalez","2","F","VA","VA71",0.55,NA,0.55,0.55,0.55,NA,NA,0.55
"233","Gonzalez","2","F","VA","VA9",0.55,NA,0.55,0.55,0.55,NA,NA,0.55
"234","Gonzalez","2","F","YE","YE13",0.769230769,NA,0.769230769,0.769230769,0.769230769,NA,NA,0.769230769
"235","Gonzalez","2","F","YE","YE19",0.947368421,NA,0.947368421,0.947368421,0.947368421,NA,NA,0.947368421
"236","Gonzalez","2","F","YE","YE20",0.857142857,NA,0.857142857,0.857142857,0.857142857,NA,NA,0.857142857
"237","Gonzalez","2","F","YE","YE21",0.55,NA,0.55,0.55,0.55,NA,NA,0.55
"238","Gonzalez","2","F","YE","YE23",0.818181818,NA,0.818181818,0.818181818,0.818181818,NA,NA,0.818181818
"239","Gonzalez","2","F","YE","YE24",0.722222222,NA,0.722222222,0.722222222,0.722222222,NA,NA,0.722222222
"240","Gonzalez","2","F","YE","YE26",1,NA,1,1,1,NA,NA,1
"241","Gonzalez","2","F","YE","YE27",0.75,NA,0.75,0.75,0.75,NA,NA,0.75
"242","Gonzalez","2","F","YE","YE40",0.95,NA,0.95,0.95,0.95,NA,NA,0.95
