"Lab","Diet","Sex","Batch","Population_count","Population_ids","Line_count","Line_ids","Replicate_count","Replicate_ids","Observation_count"
"Vieira","S","M","4",3,"AK; GI; RE",9,"AK1; AK13; AK15; AK3; AK5; AK6; GI8; GI9; RE7",9,"Vieira_4_AK1_M_1; Vieira_4_AK13_M_1; Vieira_4_AK15_M_1; Vieira_4_AK3_M_1; Vieira_4_AK5_M_1; Vieira_4_AK6_M_1; Vieira_4_GI8_M_1; Vieira_4_GI9_M_1; Vieira_4_RE7_M_1",54
"Vieira","S","M","5",2,"AK; GI",12,"AK11; AK14; AK18; AK19; AK7; AK9; GI1; GI10; GI13; GI3; GI4; GI5",12,"Vieira_5_AK11_M_1; Vieira_5_AK14_M_1; Vieira_5_AK18_M_1; Vieira_5_AK19_M_1; Vieira_5_AK7_M_1; Vieira_5_AK9_M_1; Vieira_5_GI1_M_1; Vieira_5_GI10_M_1; Vieira_5_GI13_M_1; Vieira_5_GI3_M_1; Vieira_5_GI4_M_1; Vieira_5_GI5_M_1",72
"Vieira","S","M","6",3,"AK; GI; RE",4,"AK20; GI12; GI2; RE6",4,"Vieira_6_AK20_M_1; Vieira_6_GI12_M_1; Vieira_6_GI2_M_1; Vieira_6_RE6_M_1",24
"Vieira","S","M","7",3,"AK; GI; RE",7,"AK16; AK17; AK4; GI15; RE15; RE3; RE8",7,"Vieira_7_AK16_M_1; Vieira_7_AK17_M_1; Vieira_7_AK4_M_1; Vieira_7_GI15_M_1; Vieira_7_RE15_M_1; Vieira_7_RE3_M_1; Vieira_7_RE8_M_1",42
"Vieira","S","M","8",3,"GI; MU; UM",9,"GI11; GI7; MU1; MU2; MU3; MU4; MU5; MU8; UM2",9,"Vieira_8_GI11_M_1; Vieira_8_GI7_M_1; Vieira_8_MU1_M_1; Vieira_8_MU2_M_1; Vieira_8_MU3_M_1; Vieira_8_MU4_M_1; Vieira_8_MU5_M_1; Vieira_8_MU8_M_1; Vieira_8_UM2_M_1",54
"Vieira","S","M","9",1,"MU",10,"MU10; MU11; MU12; MU13; MU15; MU19; MU20; MU6; MU7; MU9",10,"Vieira_9_MU10_M_1; Vieira_9_MU11_M_1; Vieira_9_MU12_M_1; Vieira_9_MU13_M_1; Vieira_9_MU15_M_1; Vieira_9_MU19_M_1; Vieira_9_MU20_M_1; Vieira_9_MU6_M_1; Vieira_9_MU7_M_1; Vieira_9_MU9_M_1",60
"Vieira","S","M","10",1,"MU",4,"MU14; MU16; MU17; MU18",4,"Vieira_10_MU14_M_1; Vieira_10_MU16_M_1; Vieira_10_MU17_M_1; Vieira_10_MU18_M_1",24
"Vieira","S","M","11",1,"RE",4,"RE12; RE16; RE17; RE18",4,"Vieira_11_RE12_M_1; Vieira_11_RE16_M_1; Vieira_11_RE17_M_1; Vieira_11_RE18_M_1",24
"Vieira","S","M","12",1,"KA",3,"KA10; KA7; KA9",3,"Vieira_12_KA10_M_1; Vieira_12_KA7_M_1; Vieira_12_KA9_M_1",18
"Vieira","S","M","13",2,"RE; UM",5,"RE2; UM25; UM29; UM4; UM8",5,"Vieira_13_RE2_M_1; Vieira_13_UM25_M_1; Vieira_13_UM29_M_1; Vieira_13_UM4_M_1; Vieira_13_UM8_M_1",30
