"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Gibert","NS",NA,"VA","VA9",3,"Gibert_1_VA9_1; Gibert_1_VA9_2; Gibert_1_VA9_3",3,1,"1"
"Gibert","NS",NA,"YE","YE11",3,"Gibert_1_YE11_1; Gibert_1_YE11_2; Gibert_1_YE11_3",3,1,"1"
"Gibert","NS",NA,"YE","YE13",3,"Gibert_2_YE13_1; Gibert_2_YE13_2; Gibert_2_YE13_3",3,1,"2"
"Gibert","NS",NA,"YE","YE14",3,"Gibert_1_YE14_1; Gibert_1_YE14_2; Gibert_1_YE14_3",3,1,"1"
"Gibert","NS",NA,"YE","YE15",3,"Gibert_2_YE15_1; Gibert_2_YE15_2; Gibert_2_YE15_3",3,1,"2"
"Gibert","NS",NA,"YE","YE19",3,"Gibert_2_YE19_1; Gibert_2_YE19_2; Gibert_2_YE19_3",3,1,"2"
"Gibert","NS",NA,"YE","YE20",3,"Gibert_2_YE20_1; Gibert_2_YE20_2; Gibert_2_YE20_3",3,1,"2"
"Gibert","NS",NA,"YE","YE21",3,"Gibert_1_YE21_1; Gibert_1_YE21_2; Gibert_1_YE21_3",3,1,"1"
"Gibert","NS",NA,"YE","YE22",3,"Gibert_2_YE22_1; Gibert_2_YE22_2; Gibert_2_YE22_3",3,1,"2"
"Gibert","NS",NA,"YE","YE23",3,"Gibert_1_YE23_1; Gibert_1_YE23_2; Gibert_1_YE23_3",3,1,"1"
"Gibert","NS",NA,"YE","YE24",3,"Gibert_2_YE24_1; Gibert_2_YE24_2; Gibert_2_YE24_3",3,1,"2"
"Gibert","NS",NA,"YE","YE26",3,"Gibert_1_YE26_1; Gibert_1_YE26_2; Gibert_1_YE26_3",3,1,"1"
"Gibert","NS",NA,"YE","YE27",3,"Gibert_1_YE27_1; Gibert_1_YE27_2; Gibert_1_YE27_3",3,1,"1"
"Gibert","NS",NA,"YE","YE33",3,"Gibert_1_YE33_1; Gibert_1_YE33_2; Gibert_1_YE33_3",3,1,"1"
"Gibert","NS",NA,"YE","YE40",3,"Gibert_2_YE40_1; Gibert_2_YE40_2; Gibert_2_YE40_3",3,1,"2"
"Gibert","NS",NA,"YE","YE41",3,"Gibert_2_YE41_1; Gibert_2_YE41_2; Gibert_2_YE41_3",3,1,"2"
"Gibert","NS",NA,"YE","YE48",3,"Gibert_1_YE48_1; Gibert_1_YE48_2; Gibert_1_YE48_3",3,1,"1"
"Gibert","NS",NA,"YE","YE49",6,"Gibert_1_YE49_1; Gibert_1_YE49_2; Gibert_1_YE49_3; Gibert_2_YE49_1; Gibert_2_YE49_2; Gibert_2_YE49_3",6,2,"1; 2"
"Gibert","NS",NA,"YE","YE51",3,"Gibert_2_YE51_1; Gibert_2_YE51_2; Gibert_2_YE51_3",3,1,"2"
"Gibert","NS",NA,"YE","YE69",3,"Gibert_2_YE69_1; Gibert_2_YE69_2; Gibert_2_YE69_3",3,1,"2"
"Gibert","NS",NA,"YE","YE80",3,"Gibert_1_YE80_1; Gibert_1_YE80_2; Gibert_1_YE80_3",3,1,"1"
"Grath","NS",NA,"AK","AK1",4,"Grath_1_AK1_1; Grath_1_AK1_2; Grath_1_AK1_3; Grath_1_AK1_5",4,1,"1"
"Grath","NS",NA,"AK","AK12",5,"Grath_1_AK12_1; Grath_1_AK12_2; Grath_1_AK12_3; Grath_1_AK12_4; Grath_1_AK12_5",5,1,"1"
"Grath","NS",NA,"AK","AK14",5,"Grath_1_AK14_1; Grath_1_AK14_2; Grath_1_AK14_3; Grath_1_AK14_4; Grath_1_AK14_5",5,1,"1"
"Grath","NS",NA,"AK","AK15",5,"Grath_1_AK15_1; Grath_1_AK15_2; Grath_1_AK15_3; Grath_1_AK15_4; Grath_1_AK15_5",5,1,"1"
"Grath","NS",NA,"AK","AK17",5,"Grath_1_AK17_1; Grath_1_AK17_2; Grath_1_AK17_3; Grath_1_AK17_4; Grath_1_AK17_5",5,1,"1"
"Grath","NS",NA,"AK","AK21",5,"Grath_1_AK21_1; Grath_1_AK21_2; Grath_1_AK21_3; Grath_1_AK21_4; Grath_1_AK21_5",5,1,"1"
"Grath","NS",NA,"AK","AK4",4,"Grath_1_AK4_1; Grath_1_AK4_2; Grath_1_AK4_3; Grath_1_AK4_5",4,1,"1"
"Grath","NS",NA,"AK","AK6",4,"Grath_1_AK6_1; Grath_1_AK6_2; Grath_1_AK6_3; Grath_1_AK6_5",4,1,"1"
