Model	Trait	Lab	Sex	Population	Line	Estimate	SE
lmer_pop	CSM	Vieira	F	AK	AK7	0.102	0.093
lmer_pop	CSM	Vieira	F	AK	AK8	0.044	0.093
lmer_pop	CSM	Vieira	F	AK	AK9	-0.215	0.092
lmer_pop	CSM	Vieira	F	GI	GI1	0.034	0.093
lmer_pop	CSM	Vieira	F	GI	GI10	-0.24	0.093
lmer_pop	CSM	Vieira	F	GI	GI11	0.096	0.093
lmer_pop	CSM	Vieira	F	GI	GI12	-0.187	0.093
lmer_pop	CSM	Vieira	F	GI	GI13	-0.013	0.093
lmer_pop	CSM	Vieira	F	GI	GI15	0.234	0.093
lmer_pop	CSM	Vieira	F	GI	GI2	0.143	0.092
lmer_pop	CSM	Vieira	F	GI	GI3	0.028	0.092
lmer_pop	CSM	Vieira	F	GI	GI4	-0.007	0.093
lmer_pop	CSM	Vieira	F	GI	GI5	0.031	0.093
lmer_pop	CSM	Vieira	F	GI	GI7	-0.21	0.092
lmer_pop	CSM	Vieira	F	GI	GI8	-0.045	0.093
lmer_pop	CSM	Vieira	F	GI	GI9	0.135	0.093
lmer_pop	CSM	Vieira	F	KA	KA1	0.04	0.092
lmer_pop	CSM	Vieira	F	KA	KA10	-0.133	0.093
lmer_pop	CSM	Vieira	F	KA	KA11	0.111	0.093
lmer_pop	CSM	Vieira	F	KA	KA13	0.173	0.093
lmer_pop	CSM	Vieira	F	KA	KA14	-0.083	0.093
lmer_pop	CSM	Vieira	F	KA	KA15	-0.159	0.094
lmer_pop	CSM	Vieira	F	KA	KA16	0.012	0.094
lmer_pop	CSM	Vieira	F	KA	KA17	-0.072	0.093
lmer_pop	CSM	Vieira	F	KA	KA18	-0.044	0.093
lmer_pop	CSM	Vieira	F	KA	KA2	0.039	0.092
lmer_pop	CSM	Vieira	F	KA	KA23	-0.012	0.093
lmer_pop	CSM	Vieira	F	KA	KA24	-0.179	0.093
lmer_pop	CSM	Vieira	F	KA	KA25	0.185	0.093
lmer_pop	CSM	Vieira	F	KA	KA28	0.102	0.093
lmer_pop	CSM	Vieira	F	KA	KA29	0.04	0.093
lmer_pop	CSM	Vieira	F	KA	KA3	0.183	0.092
lmer_pop	CSM	Vieira	F	KA	KA5	-0.145	0.092
lmer_pop	CSM	Vieira	F	KA	KA6	-0.321	0.093
lmer_pop	CSM	Vieira	F	KA	KA7	0.19	0.093
lmer_pop	CSM	Vieira	F	KA	KA9	0.074	0.093
lmer_pop	CSM	Vieira	F	MA	MA12	0.092	0.093
lmer_pop	CSM	Vieira	F	MA	MA13	0.155	0.093
lmer_pop	CSM	Vieira	F	MA	MA16	0.097	0.093
lmer_pop	CSM	Vieira	F	MA	MA18	0.015	0.093
lmer_pop	CSM	Vieira	F	MA	MA19	-0.047	0.093
lmer_pop	CSM	Vieira	F	MA	MA20	0.1	0.093
lmer_pop	CSM	Vieira	F	MA	MA21	0.076	0.093
lmer_pop	CSM	Vieira	F	MA	MA23	0.157	0.093
lmer_pop	CSM	Vieira	F	MA	MA26	-0.121	0.093
lmer_pop	CSM	Vieira	F	MA	MA27	-0.024	0.093
lmer_pop	CSM	Vieira	F	MA	MA28	0.097	0.093
lmer_pop	CSM	Vieira	F	MA	MA3	-0.088	0.093
lmer_pop	CSM	Vieira	F	MA	MA30	0.2	0.093
lmer_pop	CSM	Vieira	F	MA	MA31	0.144	0.093
lmer_pop	CSM	Vieira	F	MA	MA32	0.2	0.093
lmer_pop	CSM	Vieira	F	MA	MA33	-0.115	0.093
lmer_pop	CSM	Vieira	F	MA	MA5	-0.513	0.093
lmer_pop	CSM	Vieira	F	MA	MA6	-0.116	0.093
lmer_pop	CSM	Vieira	F	MA	MA7	-0.208	0.094
lmer_pop	CSM	Vieira	F	MA	MA9	-0.101	0.094
lmer_pop	CSM	Vieira	F	MU	MU1	-0.01	0.093
lmer_pop	CSM	Vieira	F	MU	MU10	-0.148	0.093
lmer_pop	CSM	Vieira	F	MU	MU11	0.018	0.092
lmer_pop	CSM	Vieira	F	MU	MU12	0.001	0.092
lmer_pop	CSM	Vieira	F	MU	MU13	-0.042	0.092
lmer_pop	CSM	Vieira	F	MU	MU14	-0.297	0.092
lmer_pop	CSM	Vieira	F	MU	MU15	0.156	0.092
lmer_pop	CSM	Vieira	F	MU	MU16	-0.007	0.093
