Model	Trait	Lab	Sex	Population	Line	Estimate	SE
lmer_pop	WA_L	StamenkovicRadak	F	MU	MU19	52.816	14.241
lmer_pop	WA_L	StamenkovicRadak	F	MU	MU2	-3.729	15.276
lmer_pop	WA_L	StamenkovicRadak	F	MU	MU4	44.9	14.241
lmer_pop	WA_L	StamenkovicRadak	F	MU	MU5	42.898	14.241
lmer_pop	WA_L	StamenkovicRadak	F	MU	MU7	-42.416	14.431
lmer_pop	WA_L	StamenkovicRadak	F	MU	MU8	0.779	15.512
lmer_pop	WA_L	StamenkovicRadak	F	MU	MU9	11.066	15.051
lmer_pop	WA_L	StamenkovicRadak	F	RE	RE1	-9.331	14.629
lmer_pop	WA_L	StamenkovicRadak	F	RE	RE11	15.673	15.276
lmer_pop	WA_L	StamenkovicRadak	F	RE	RE12	-74.348	15.276
lmer_pop	WA_L	StamenkovicRadak	F	RE	RE13	-32.62	15.276
lmer_pop	WA_L	StamenkovicRadak	F	RE	RE16	-48.86	15.276
lmer_pop	WA_L	StamenkovicRadak	F	RE	RE17	-72.19	16.29
lmer_pop	WA_L	StamenkovicRadak	F	RE	RE18	-2.528	15.512
lmer_pop	WA_L	StamenkovicRadak	F	RE	RE2	49.688	15.051
lmer_pop	WA_L	StamenkovicRadak	F	RE	RE4	52.265	15.512
lmer_pop	WA_L	StamenkovicRadak	F	RE	RE5	-9.433	15.051
lmer_pop	WA_L	StamenkovicRadak	F	RE	RE6	67.652	15.276
lmer_pop	WA_L	StamenkovicRadak	F	RE	RE7	73.121	15.276
lmer_pop	WA_L	StamenkovicRadak	F	RE	RE8	-9.089	15.051
lmer_pop	WA_L	StamenkovicRadak	F	UM	UM17	-60.748	14.241
lmer_pop	WA_L	StamenkovicRadak	F	UM	UM18	-19.529	15.512
lmer_pop	WA_L	StamenkovicRadak	F	UM	UM2	-73.245	15.276
lmer_pop	WA_L	StamenkovicRadak	F	UM	UM20	21.084	14.836
lmer_pop	WA_L	StamenkovicRadak	F	UM	UM21	37.246	15.759
lmer_pop	WA_L	StamenkovicRadak	F	UM	UM22	117.629	16.879
lmer_pop	WA_L	StamenkovicRadak	F	UM	UM23	39.69	16.577
lmer_pop	WA_L	StamenkovicRadak	F	UM	UM24	-70.048	17.537
lmer_pop	WA_L	StamenkovicRadak	F	UM	UM26	-21.045	14.629
lmer_pop	WA_L	StamenkovicRadak	F	UM	UM28	24.113	16.018
lmer_pop	WA_L	StamenkovicRadak	F	UM	UM29	-55.878	14.431
lmer_pop	WA_L	StamenkovicRadak	F	UM	UM6	-9.507	16.29
lmer_pop	WA_L	StamenkovicRadak	F	UM	UM7	70.155	15.051
lmer_pop	WA_L	StamenkovicRadak	F	UM	UM9	0.081	15.276
lmer_pop	WA_L	StamenkovicRadak	F	VA	VA1	9.089	15.512
lmer_pop	WA_L	StamenkovicRadak	F	VA	VA11	11.086	15.051
lmer_pop	WA_L	StamenkovicRadak	F	VA	VA18	-20.213	14.836
lmer_pop	WA_L	StamenkovicRadak	F	VA	VA30	82.262	15.051
lmer_pop	WA_L	StamenkovicRadak	F	VA	VA34	-28.938	16.577
