Model	Trait	Sex	Population	Line	Value_re_Vieira	Value_re_Mensch	SE_re_Vieira	SE_re_Mensch
lmer_pop	CCRT	M	VA	VA48	26.728	191.385	89.368	156.841
lmer_pop	CCRT	M	VA	VA55	24.09	-67.845	89.368	155.508
lmer_pop	CCRT	M	VA	VA57	-12.797	-54.09	89.368	155.933
lmer_pop	CCRT	M	VA	VA6	-19.613	-83.928	89.368	156.742
lmer_pop	CCRT	M	VA	VA66	-2.878	-45.448	89.368	157.051
lmer_pop	CCRT	M	VA	VA67	14.827	-83.595	89.805	157.051
lmer_pop	CCRT	M	VA	VA71	-17.481	42.804	89.368	155.508
lmer_pop	CCRT	M	VA	VA9	-10.518	24.286	89.368	154.916
lmer_pop	CCRT	M	YE	YE11	27.521	209.536	89.368	156.742
lmer_pop	CCRT	M	YE	YE13	-15.275	-118.847	89.368	159.866
lmer_pop	CCRT	M	YE	YE14	-37.77	-57.207	89.368	155.508
lmer_pop	CCRT	M	YE	YE15	8.571	-200.627	89.368	154.916
lmer_pop	CCRT	M	YE	YE19	-2.867	167.609	89.368	184.52
lmer_pop	CCRT	M	YE	YE20	-45.093	46.666	89.368	163.499
lmer_pop	CCRT	M	YE	YE21	-43.215	-130.757	89.368	155.75
lmer_pop	CCRT	M	YE	YE22	8.528	-32.598	89.368	164.767
lmer_pop	CCRT	M	YE	YE23	35.307	544.483	89.368	154.916
lmer_pop	CCRT	M	YE	YE24	-9.599	-263.335	89.368	163.499
lmer_pop	CCRT	M	YE	YE26	-33.543	-239.184	89.805	154.916
lmer_pop	CCRT	M	YE	YE27	-20.085	169.631	89.805	164.247
lmer_pop	CCRT	M	YE	YE33	15.471	-52.837	89.805	172.338
lmer_pop	CCRT	M	YE	YE40	32.015	-101.258	89.368	154.916
lmer_pop	CCRT	M	YE	YE41	22.92	NA	89.368	NA
lmer_pop	CCRT	M	YE	YE48	20.493	42.336	89.368	173.588
lmer_pop	CCRT	M	YE	YE49	36.785	88.16	89.368	164.247
lmer_pop	CCRT	M	YE	YE51	58.559	149.876	89.805	217.219
lmer_pop	CCRT	M	YE	YE69	1.754	NA	89.805	NA
lmer_pop	CCRT	M	YE	YE80	-60.477	-221.649	89.368	154.916
lmer_pop	CCRT	M	AK	AK21	NA	30.335	NA	173.319
lmer_pop	CCRT	M	GI	GI14	NA	55.91	NA	155.508
lmer_pop	CCRT	M	GI	GI6	NA	107.276	NA	156.841
lmer_pop	CCRT	M	RE	RE1	NA	-123.9	NA	157.498
