Supervisor.PI,Diet,Batch,Population,Line,Sex,ReplicateVialOld,ReplicateVial,Individual,CentroidSizeLeft_micrometers,CentroidSizeRight_micrometers,Country,Latitude,Longitude,Altitude
Onder,NS,4,VA,VA71,M,2,Onder_4_VA71_2,19,2456.163659,2439.583498,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,2,Onder_4_VA71_2,20,2445.005954,2429.527354,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,3,Onder_4_VA71_3,21,2370.289858,2382.75227,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,3,Onder_4_VA71_3,22,2343.063357,2345.2544,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,3,Onder_4_VA71_3,23,2397.167531,2412.273874,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,3,Onder_4_VA71_3,24,2398.889615,2367.091363,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,3,Onder_4_VA71_3,25,2412.130557,2402.742163,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,3,Onder_4_VA71_3,26,2312.626761,2308.201229,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,3,Onder_4_VA71_3,27,2451.869177,2450.010048,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,3,Onder_4_VA71_3,28,2286.25683,2282.901643,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,3,Onder_4_VA71_3,29,2336.076355,2331.000674,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,M,3,Onder_4_VA71_3,30,2431.962546,2449.252001,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,1,Onder_1_VA9_1,1,3077.082556,3044.248052,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,1,Onder_1_VA9_1,2,2754.578339,2772.953553,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,1,Onder_1_VA9_1,3,2896.468226,2897.610009,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,1,Onder_1_VA9_1,4,2949.967422,2945.122861,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,1,Onder_1_VA9_1,5,2783.68334,2796.49202,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,1,Onder_1_VA9_1,6,2866.152302,2871.48207,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,1,Onder_1_VA9_1,7,2878.663953,2891.9574,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,1,Onder_1_VA9_1,8,2751.481664,2745.82196,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,1,Onder_1_VA9_1,9,2831.920905,2841.18653,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,1,Onder_1_VA9_1,10,2901.521779,2927.087203,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,1,Onder_1_VA9_1,11,2939.84145,2899.304559,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,2,Onder_1_VA9_2,12,2621.005407,2644.080585,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,2,Onder_1_VA9_2,13,2953.425329,2987.914424,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,2,Onder_1_VA9_2,14,2822.598919,2821.875642,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,2,Onder_1_VA9_2,15,2885.840933,2897.774453,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,2,Onder_1_VA9_2,16,2729.263942,2729.150248,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,2,Onder_1_VA9_2,17,2957.749078,2962.74198,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,2,Onder_1_VA9_2,18,2863.175178,2871.694399,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,2,Onder_1_VA9_2,19,2877.067757,2870.52969,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,2,Onder_1_VA9_2,20,2783.698231,2778.537136,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,2,Onder_1_VA9_2,21,2743.08647,2740.22826,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,2,Onder_1_VA9_2,22,2891.604597,2895.395631,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,3,Onder_1_VA9_3,23,2813.990453,2810.090371,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,3,Onder_1_VA9_3,24,2968.0204,2974.740665,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,3,Onder_1_VA9_3,25,2741.009835,2752.884276,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,3,Onder_1_VA9_3,26,2746.138894,2756.081519,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,3,Onder_1_VA9_3,27,2938.112139,2938.353839,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,3,Onder_1_VA9_3,28,2789.564123,2790.368633,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,3,Onder_1_VA9_3,29,2783.271518,2792.804812,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,3,Onder_1_VA9_3,30,2898.225123,2918.44957,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,3,Onder_1_VA9_3,31,2927.370616,2935.761404,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,3,Onder_1_VA9_3,32,2895.557144,2914.685433,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,F,3,Onder_1_VA9_3,33,2857.13662,2865.457489,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,1,Onder_1_VA9_1,1,2458.39829,2467.607884,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,1,Onder_1_VA9_1,2,2438.574996,2457.733878,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,1,Onder_1_VA9_1,3,2511.607045,2485.245966,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,1,Onder_1_VA9_1,4,2494.323521,2504.059519,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,1,Onder_1_VA9_1,5,2555.075557,2558.117677,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,1,Onder_1_VA9_1,6,2487.439101,2500.439057,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,1,Onder_1_VA9_1,7,2385.267445,2399.676988,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,1,Onder_1_VA9_1,8,2447.612707,2440.475489,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,1,Onder_1_VA9_1,9,2427.6725,2437.783677,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,1,Onder_1_VA9_1,10,2528.617411,2553.929186,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,1,Onder_1_VA9_1,11,2456.821286,2467.828002,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,2,Onder_1_VA9_2,12,2384.394972,2417.891077,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,2,Onder_1_VA9_2,13,2509.422682,2535.031426,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,2,Onder_1_VA9_2,14,2356.61867,2342.454199,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,2,Onder_1_VA9_2,15,2425.457182,2428.768217,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,2,Onder_1_VA9_2,16,2504.993298,2511.643098,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,2,Onder_1_VA9_2,17,2392.915344,2390.170139,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,2,Onder_1_VA9_2,18,2377.165975,2366.764389,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,2,Onder_1_VA9_2,19,2515.018773,2541.449984,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,2,Onder_1_VA9_2,20,2513.453277,2485.759905,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,2,Onder_1_VA9_2,21,2390.405522,2405.836721,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,2,Onder_1_VA9_2,22,2483.088172,2490.976672,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,3,Onder_1_VA9_3,23,2386.934121,2363.527277,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,3,Onder_1_VA9_3,24,2356.028436,2335.57482,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,3,Onder_1_VA9_3,25,2471.359848,2482.274078,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,3,Onder_1_VA9_3,26,2420.737678,2445.620509,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,3,Onder_1_VA9_3,27,2408.389192,2418.94723,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,3,Onder_1_VA9_3,28,2460.902437,2467.106011,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,3,Onder_1_VA9_3,29,2384.338357,2364.935953,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,3,Onder_1_VA9_3,30,2413.862979,2409.378728,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,3,Onder_1_VA9_3,31,2417.659857,2436.00238,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,3,Onder_1_VA9_3,32,2393.576731,2392.975049,Russia,57.979,33.244,217
Onder,NS,1,VA,VA9,M,3,Onder_1_VA9_3,33,2488.981438,2503.756307,Russia,57.979,33.244,217
Onder,NS,1,YE,YE13,F,1,Onder_1_YE13_1,1,2704.257587,2690.929163,Turkey,40.231,32.26,680
Onder,NS,1,YE,YE13,F,1,Onder_1_YE13_1,2,2959.510369,2938.575013,Turkey,40.231,32.26,680
Onder,NS,1,YE,YE13,F,1,Onder_1_YE13_1,3,2874.321776,2870.396353,Turkey,40.231,32.26,680
