Supervisor.PI,Diet,Batch,Population,Line,ReplicateVialOld,ReplicateVial,Individual,DT_EggPupa,Country,Latitude,Longitude,Altitude
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,17,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,18,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,19,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,20,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,21,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,22,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,23,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA1,1,Schmidt_1_VA1_1,24,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,1,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,2,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,3,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,4,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,5,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,6,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,7,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,8,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,9,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,10,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,11,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,12,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,13,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,14,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,15,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,16,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,17,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,18,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,19,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,20,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,21,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,22,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,23,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,24,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,25,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,26,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,27,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,28,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,29,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,30,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,31,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA9,1,Schmidt_1_VA9_1,32,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA11,1,Schmidt_1_VA11_1,1,164,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA11,1,Schmidt_1_VA11_1,2,168,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA11,1,Schmidt_1_VA11_1,3,168,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA11,1,Schmidt_1_VA11_1,4,168,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA11,1,Schmidt_1_VA11_1,5,168,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA11,1,Schmidt_1_VA11_1,6,168,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA11,1,Schmidt_1_VA11_1,7,168,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA11,1,Schmidt_1_VA11_1,8,168,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA11,1,Schmidt_1_VA11_1,9,168,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA11,1,Schmidt_1_VA11_1,10,168,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA11,1,Schmidt_1_VA11_1,11,168,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA11,1,Schmidt_1_VA11_1,12,184,Russia,57.979,33.244,217
