Model	Trait	Sex	Population	Line	Value_re_Parsch	Value_re_Vieira	SE_re_Parsch	SE_re_Vieira
lmer_pop	HSM	M	UM	UM26	-27.198	14.426	13.2	13.573
lmer_pop	HSM	M	UM	UM28	-120.256	10.996	12.201	13.663
lmer_pop	HSM	M	UM	UM29	26.618	35.194	13.92	11.416
lmer_pop	HSM	M	UM	UM4	14.468	-31.587	12.701	11.518
lmer_pop	HSM	M	UM	UM5	61.342	-29.01	14.28	11.154
lmer_pop	HSM	M	UM	UM7	39.467	-41.47	16.181	10.876
lmer_pop	HSM	M	UM	UM9	-59.854	14.182	12.201	12.492
lmer_pop	HSM	M	VA	VA1	-15.68	6.39	12.295	11.643
lmer_pop	HSM	M	VA	VA18	52.011	-26.793	13.461	11.279
lmer_pop	HSM	M	VA	VA22	65.842	-48.537	18.463	10.782
lmer_pop	HSM	M	VA	VA26	13.247	27.17	13.317	11.643
lmer_pop	HSM	M	VA	VA30	-35.071	24.427	12.201	11.604
lmer_pop	HSM	M	VA	VA34	29.403	10.954	13.057	11.768
lmer_pop	HSM	M	VA	VA47	54.642	52.075	20.204	12.92
lmer_pop	HSM	M	VA	VA48	78.683	-22.552	18.985	13.55
lmer_pop	HSM	M	VA	VA55	13.127	-34.63	12.389	12.43
lmer_pop	HSM	M	VA	VA57	-139.066	-14.357	12.201	12.596
lmer_pop	HSM	M	VA	VA6	4.746	15.895	12.389	10.845
lmer_pop	HSM	M	VA	VA66	58.201	25.142	15.092	12.405
lmer_pop	HSM	M	VA	VA67	13.101	-2.224	12.931	13.614
lmer_pop	HSM	M	VA	VA71	16.8	33.04	12.932	13.571
lmer_pop	HSM	M	VA	VA9	-209.987	33.981	12.201	10.878
lmer_pop	HSM	M	YE	YE11	-27.057	-43.346	12.201	12.504
lmer_pop	HSM	M	YE	YE13	81.601	24.024	12.201	11.791
lmer_pop	HSM	M	YE	YE15	34.591	1.751	12.53	11.727
lmer_pop	HSM	M	YE	YE19	84.642	-32.856	12.702	11.638
lmer_pop	HSM	M	YE	YE21	59.821	0.688	12.489	12.011
lmer_pop	HSM	M	YE	YE22	-179.088	-10.033	14.12	11.667
lmer_pop	HSM	M	YE	YE23	-39.053	-23.76	10.903	10.948
lmer_pop	HSM	M	YE	YE24	45.538	54.07	11.966	11.931
lmer_pop	HSM	M	YE	YE26	34.046	20.167	12.748	10.845
lmer_pop	HSM	M	YE	YE33	-52.409	-50.593	11.859	11.279
lmer_pop	HSM	M	YE	YE40	-132.547	-4.47	11.859	11.397
lmer_pop	HSM	M	YE	YE48	31.259	39.771	12.476	13.199
lmer_pop	HSM	M	YE	YE51	40.924	-37.193	12.648	12.045
lmer_pop	HSM	M	YE	YE69	57.14	32.927	12.651	12.758
lmer_pop	HSM	M	YE	YE80	-39.409	41.516	12.425	12.435
lmer_pop	HSM	M	AK	AK12	NA	-15.729	NA	13.384
lmer_pop	HSM	M	AK	AK15	NA	-10.413	NA	11.481
lmer_pop	HSM	M	AK	AK16	NA	3.898	NA	14.601
lmer_pop	HSM	M	AK	AK19	NA	-45.095	NA	11.293
lmer_pop	HSM	M	AK	AK2	NA	24.263	NA	12.214
lmer_pop	HSM	M	AK	AK5	NA	-28.651	NA	12.174
lmer_pop	HSM	M	KA	KA13	NA	-22.858	NA	13.615
lmer_pop	HSM	M	KA	KA16	NA	6.331	NA	14.432
lmer_pop	HSM	M	KA	KA2	NA	-9.058	NA	11.416
lmer_pop	HSM	M	KA	KA25	NA	3.281	NA	12.684
lmer_pop	HSM	M	KA	KA6	NA	-42.472	NA	12.476
lmer_pop	HSM	M	MA	MA13	NA	-0.602	NA	12.443
lmer_pop	HSM	M	MA	MA27	NA	-11.221	NA	12.108
lmer_pop	HSM	M	MA	MA28	NA	2.866	NA	12.021
lmer_pop	HSM	M	MA	MA31	NA	-4.596	NA	12.504
lmer_pop	HSM	M	MA	MA32	NA	15.699	NA	12.425
lmer_pop	HSM	M	MU	MU12	NA	19.016	NA	10.843
lmer_pop	HSM	M	MU	MU13	NA	3.914	NA	10.779
lmer_pop	HSM	M	MU	MU16	NA	17.85	NA	12.174
lmer_pop	HSM	M	MU	MU19	NA	7.897	NA	10.811
lmer_pop	HSM	M	MU	MU8	NA	-23.575	NA	11.265
