"","Supervisor.PI","Batch","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"91","Billeter","1","MU","MU9",171,42.5617198900608,183,113,215,19.0341797826962,0.248898946725502,183
"92","Billeter","1","RE","RE1",40.2,26.8923781023546,43,0,68,12.0266371026983,0.668964629411805,60
"93","Billeter","1","RE","RE10",75.5,77.0043288826457,57.5,3,184,38.5021644413229,1.01992488586286,50
"94","Billeter","1","RE","RE11",121.428571428571,58.8695086408834,135,0,180,22.2505828097636,0.48480771821904,135
"95","Billeter","1","RE","RE12",37.8,32.645060882161,25,0,83,14.5993150524263,0.863625949263519,25
"96","Billeter","1","RE","RE13",44.8,34.1057179956675,53,1,90,15.2525407719501,0.761288348117579,57
"97","Billeter","1","RE","RE15",83.2,33.1918664735805,80,32,117,14.8438539470045,0.398940702807458,32
"98","Billeter","1","RE","RE16",94.4,25.822470834527,95,69,131,11.5481600266016,0.273543123247108,69
"99","Billeter","1","RE","RE17",23,20.4694894904587,18,0,51,9.15423399307665,0.889977803932988,18
"100","Billeter","1","RE","RE18",76.8,12.7161314872095,75,66,98,5.68682688324517,0.165574628739707,68
"101","Billeter","1","RE","RE2",96.6,29.3223464272558,95,62,138,13.1133519742284,0.303543958874283,138
"102","Billeter","1","RE","RE3",9,17.9722007556114,0,0,41,8.03741251896405,1.99691119506794,0
"103","Billeter","1","RE","RE5",122.4,80.3448816042441,142,30,221,35.9313233822524,0.656412431407223,142
"104","Billeter","1","RE","RE6",62,35.6019662378358,66,23,107,15.9216833280907,0.574225261900577,66
"105","Billeter","1","RE","RE7",57.8,44.1667295597036,51,5,109,19.7519619278693,0.764130269199025,51
"106","Billeter","1","UM","UM13",100.4,71.8213060310101,116,1,196,32.1194645036308,0.715351653695319,196
"107","Billeter","1","UM","UM17",53.6,31.3894886865014,64,6,89,14.0378060963955,0.585624788927265,89
"108","Billeter","1","UM","UM18",84.2,52.3994274777883,89,1,141,23.433736364481,0.622320991422664,89
"109","Billeter","1","UM","UM2",45,45.1552876195025,52,0,104,20.1940585321525,1.00345083598895,0
"110","Billeter","1","UM","UM21",131.8,68.5288260515238,142,24,196,30.6470226938931,0.51994556943493,196
