"Models","Trait","Sex","Population","Estimate","SE","LLEst","ULEst","Q","P","N_lab","N_lab_av"
"lmers","LA_CircPhase","B","UM",10.9657681810606,0.82407011919957,9.35062042669383,12.5809159354274,24.8041260343053,0.0016778949699361,1,1
"lmers","LA_CircPhase","B","KA",13.9821341425159,0.748214279687425,12.51566110161,15.4486071834219,24.8041260343053,0.0016778949699361,1,1
"lmers","LA_CircPhase","B","VA",12.8733295287993,0.792622840258267,11.3198173085693,14.4268417490294,24.8041260343053,0.0016778949699361,1,1
"lmers","LA_CircPhase","B","AK",9.21333256028183,0.820350539786255,7.60547504760278,10.8211900729609,24.8041260343053,0.0016778949699361,1,1
"lmers","LA_NDlog2","B","YE",0.0418517775849427,0.0857524892670108,-0.126220012963056,0.209923568132941,21.8188040133329,0.00526282559485734,1,1
"lmers","LA_NDlog2","B","RE",-0.225066483001173,0.127431361926573,-0.474827362878146,0.0246943968757992,21.8188040133329,0.00526282559485734,1,1
"lmers","LA_NDlog2","B","GI",-0.318829654220643,0.117731757165483,-0.549579658101605,-0.0880796503396812,21.8188040133329,0.00526282559485734,1,1
"lmers","LA_NDlog2","B","MU",-0.271529139120641,0.122988686415844,-0.512582535001585,-0.0304757432396966,21.8188040133329,0.00526282559485734,1,1
"lmers","LA_NDlog2","B","MA",-0.0966114042145743,0.106522021469685,-0.30539072985556,0.112167921426411,21.8188040133329,0.00526282559485734,1,1
"lmers","LA_NDlog2","B","UM",-0.441446535703833,0.112990836288612,-0.662904505412575,-0.219988565995092,21.8188040133329,0.00526282559485734,1,1
"lmers","LA_NDlog2","B","KA",-0.0434395447023114,0.106882544132179,-0.252925481777395,0.166046392372772,21.8188040133329,0.00526282559485734,1,1
"lmers","LA_NDlog2","B","VA",-0.247661088579253,0.11410985615396,-0.471312296922061,-0.024009880236446,21.8188040133329,0.00526282559485734,1,1
"lmers","LA_NDlog2","B","AK",-0.450191898942809,0.116141720599808,-0.677825488420945,-0.222558309464672,21.8188040133329,0.00526282559485734,1,1
"lmers","LA_Period","B","YE",24.0942260327892,0.194350164188989,23.7133067105893,24.4751453549891,18.1444362330162,0.0201693143293624,1,1
"lmers","LA_Period","B","RE",24.109129046714,0.271061776962427,23.5778577262823,24.6404003671458,18.1444362330162,0.0201693143293624,1,1
"lmers","LA_Period","B","GI",23.5997208206014,0.240167208444536,23.1290017417826,24.0704398994202,18.1444362330162,0.0201693143293624,1,1
"lmers","LA_Period","B","MU",23.8124884863856,0.266041551373293,23.2910566273028,24.3339203454684,18.1444362330162,0.0201693143293624,1,1
"lmers","LA_Period","B","MA",24.3145796617164,0.206791803635671,23.9092751742924,24.7198841491404,18.1444362330162,0.0201693143293624,1,1
"lmers","LA_Period","B","UM",24.5953908275796,0.223640139509161,24.1570642086441,25.033717446515,18.1444362330162,0.0201693143293624,1,1
"lmers","LA_Period","B","KA",24.643092100356,0.20369156510007,24.2438639688053,25.0423202319068,18.1444362330162,0.0201693143293624,1,1
"lmers","LA_Period","B","VA",23.9960594407556,0.215722313601344,23.5732514754353,24.4188674060759,18.1444362330162,0.0201693143293624,1,1
"lmers","LA_Period","B","AK",24.3240117353228,0.222653059690924,23.8876197572809,24.7604037133646,18.1444362330162,0.0201693143293624,1,1
"lmers","Pgm_T4","F","YE",0.469114982670352,0.0398226392103179,0.391064044048796,0.547165921291908,6.17047291933493,0.628142955742337,3,3
"lmers","Pgm_T4","F","RE",0.453842506703995,0.023229566833184,0.408313392334488,0.499371621073502,6.17047291933493,0.628142955742337,3,3
"lmers","Pgm_T4","F","GI",0.434933328763815,0.0389439176860797,0.358604652682206,0.511262004845423,6.17047291933493,0.628142955742337,3,3
"lmers","Pgm_T4","F","MU",0.465177357100281,0.0374818932887709,0.391714196181916,0.538640518018645,6.17047291933493,0.628142955742337,3,3
"lmers","Pgm_T4","F","MA",0.507262726312527,0.0219446297270089,0.464252042393522,0.550273410231531,6.17047291933493,0.628142955742337,3,3
"lmers","Pgm_T4","F","UM",0.477591102210858,0.0513392061877132,0.376968107088064,0.578214097333652,6.17047291933493,0.628142955742337,3,3
"lmers","Pgm_T4","F","KA",0.424707031700733,0.0646301897796735,0.298034187418585,0.551379875982882,6.17047291933493,0.628142955742337,3,3
"lmers","Pgm_T4","F","VA",0.390055463032247,0.0696159577189148,0.253610693153911,0.526500232910583,6.17047291933493,0.628142955742337,3,3
"lmers","Pgm_T4","F","AK",0.453960151988002,0.0384542391469369,0.378591228207115,0.529329075768888,6.17047291933493,0.628142955742337,3,3
"lmers","Pgm_T5","F","YE",0.586003195291481,0.0958343387856315,0.398171342789433,0.773835047793529,1.25428599072529,0.996076047996779,3,3
"lmers","Pgm_T5","F","RE",0.617420920630163,0.11903139270616,0.384123677896446,0.850718163363881,1.25428599072529,0.996076047996779,3,3
"lmers","Pgm_T5","F","GI",0.539086939991969,0.0790030102235653,0.384243885283532,0.693929994700407,1.25428599072529,0.996076047996779,3,3
"lmers","Pgm_T5","F","MU",0.603817447134446,0.10213079868002,0.403644760009296,0.803990134259596,1.25428599072529,0.996076047996779,3,3
"lmers","Pgm_T5","F","MA",0.65809334331099,0.0977252256756302,0.466555420605706,0.849631266016274,1.25428599072529,0.996076047996779,3,3
"lmers","Pgm_T5","F","UM",0.653196619226946,0.149296817301904,0.360580234308758,0.945813004145134,1.25428599072529,0.996076047996779,3,3
"lmers","Pgm_T5","F","KA",0.564175133966184,0.125629251649379,0.317946325328683,0.810403942603685,1.25428599072529,0.996076047996779,3,3
"lmers","Pgm_T5","F","VA",0.559066375174115,0.131883142763266,0.30058016519016,0.817552585158071,1.25428599072529,0.996076047996779,3,3
"lmers","Pgm_T5","F","AK",0.584261160572867,0.0886339886332577,0.410541735045549,0.757980586100184,1.25428599072529,0.996076047996779,3,3
"lmers","Pgm_T6","F","YE",0.637198550656103,0.0672022255318987,0.505484608932643,0.768912492379562,6.85506545452343,0.552347862415678,3,3
"lmers","Pgm_T6","F","RE",0.694269488213347,0.0843239326164026,0.528997617250416,0.859541359176278,6.85506545452343,0.552347862415678,3,3
"lmers","Pgm_T6","F","GI",0.585315379515514,0.0973808881485555,0.394452345961822,0.776178413069206,6.85506545452343,0.552347862415678,3,3
"lmers","Pgm_T6","F","MU",0.630001931027539,0.0932498860210772,0.447235512863763,0.812768349191315,6.85506545452343,0.552347862415678,3,3
"lmers","Pgm_T6","F","MA",0.745652081891425,0.0578051008268185,0.632356166148154,0.858947997634696,6.85506545452343,0.552347862415678,3,3
"lmers","Pgm_T6","F","UM",0.757565313960832,0.0414433689077845,0.676337803503567,0.838792824418096,6.85506545452343,0.552347862415678,3,3
"lmers","Pgm_T6","F","KA",0.684003918873045,0.0940647434534383,0.499640409489306,0.868367428256783,6.85506545452343,0.552347862415678,3,3
"lmers","Pgm_T6","F","VA",0.674914405706032,0.0626967705013791,0.552030993576356,0.797797817835708,6.85506545452343,0.552347862415678,3,3
"lmers","Pgm_T6","F","AK",0.589515976820457,0.0963173401313112,0.400737459076393,0.778294494564521,6.85506545452343,0.552347862415678,3,3
"lmers","Pgm_Total","F","YE",0.56628682778586,0.0525343342252747,0.463321424752532,0.669252230819189,5.49058586737742,0.704082777050747,3,3
"lmers","Pgm_Total","F","RE",0.583708522954078,0.0358895625846649,0.513366272867239,0.654050773040918,5.49058586737742,0.704082777050747,3,3
"lmers","Pgm_Total","F","GI",0.525515106059013,0.043725674766813,0.439814358316347,0.611215853801678,5.49058586737742,0.704082777050747,3,3
"lmers","Pgm_Total","F","MU",0.567930900730184,0.0544340472520122,0.461242128583488,0.674619672876879,5.49058586737742,0.704082777050747,3,3
"lmers","Pgm_Total","F","MA",0.626545287038776,0.029625865149926,0.568479658334081,0.684610915743472,5.49058586737742,0.704082777050747,3,3
"lmers","Pgm_Total","F","UM",0.623973717230099,0.0682249908794405,0.490255192260822,0.757692242199376,5.49058586737742,0.704082777050747,3,3
"lmers","Pgm_Total","F","KA",0.556256432885765,0.0688102248873267,0.421390870338503,0.691121995433027,5.49058586737742,0.704082777050747,3,3
"lmers","Pgm_Total","F","VA",0.543678223706174,0.0712697769444589,0.403992027708831,0.683364419703516,5.49058586737742,0.704082777050747,3,3
"lmers","Pgm_Total","F","AK",0.547688401111447,0.0436586713814761,0.462118977590884,0.633257824632009,5.49058586737742,0.704082777050747,3,3
"lmers","SR","F","YE",79.1399791980459,5.29841436144157,68.7552778744506,89.5246805216411,9.5665605937162,0.296774092006785,3,3
"lmers","SR","F","RE",90.4152985227561,6.75402215959598,77.1776583391626,103.65293870635,9.5665605937162,0.296774092006785,3,3
"lmers","SR","F","GI",90.160431271612,9.62897106654249,71.2879947730105,109.032867770214,9.5665605937162,0.296774092006785,3,3
"lmers","SR","F","MU",98.8514849387639,5.3027672531342,88.4582521042224,109.244717773305,9.5665605937162,0.296774092006785,3,3
"lmers","SR","F","MA",90.826960784282,6.15898311099999,78.7555757053315,102.898345863232,9.5665605937162,0.296774092006785,3,3
"lmers","SR","F","UM",92.7681070161784,6.23193947116275,80.5537300988658,104.982483933491,9.5665605937162,0.296774092006785,3,3
"lmers","SR","F","KA",94.2579931146249,7.05467817273988,80.4310779735339,108.084908255716,9.5665605937162,0.296774092006785,3,3
