"Supervisor.PI","Batch","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Gibert","2","AK","AK11",0.743333333333333,0.0513160143944689,0.73,0.7,0.8,0.0296273147243853,0.0690349969432317,0.7
"Gibert","2","AK","AK12",0.803333333333333,0.0251661147842358,0.8,0.78,0.83,0.0145296631451356,0.0313271138392977,0.78
"Gibert","2","AK","AK13",0.776666666666667,0.0251661147842359,0.78,0.75,0.8,0.0145296631451356,0.0324027228981578,0.8
"Gibert","2","AK","AK14",0.826666666666667,0.0251661147842358,0.83,0.8,0.85,0.0145296631451356,0.030442880787382,0.85
"Gibert","2","AK","AK16",0.803333333333333,0.0929157324317757,0.83,0.7,0.88,0.0536449231314369,0.115662737466941,0.83
"Gibert","2","AK","AK5",0.746666666666667,0.0763762615825973,0.73,0.68,0.83,0.0440958551844098,0.102289636048121,0.68
"Gibert","2","AK","AK6",0.626666666666667,0.0642910050732864,0.6,0.58,0.7,0.0371184290855335,0.102592029372265,0.7
"Gibert","2","AK","AK8",0.826666666666667,0.0642910050732864,0.8,0.78,0.9,0.0371184290855335,0.0777713771047819,0.9
"Gibert","2","AK","AK9",0.86,0.0529150262212918,0.88,0.8,0.9,0.0305505046330389,0.061529100257316,0.88
"Gibert","2","GI","GI10",0.82,0.0529150262212918,0.8,0.78,0.88,0.0305505046330389,0.0645305197820632,0.88
"Gibert","2","GI","GI13",0.67,0.150996688705415,0.65,0.53,0.83,0.0871779788708135,0.225368192097634,0.83
"Gibert","2","GI","GI2",0.676666666666667,0.0642910050732864,0.65,0.63,0.75,0.0371184290855335,0.0950113375467286,0.63
"Gibert","2","GI","GI3",0.783333333333333,0.0763762615825973,0.8,0.7,0.85,0.0440958551844099,0.0975016105309753,0.7
"Gibert","2","GI","GI8",0.666666666666667,0.0763762615825973,0.65,0.6,0.75,0.0440958551844099,0.114564392373896,0.6
"Gibert","2","GI","GI6",0.586666666666667,0.0929157324317757,0.63,0.48,0.65,0.0536449231314369,0.158379089372345,0.48
"Gibert","2","KA","KA1",0.725,0.106066017177982,0.725,0.65,0.8,0.075,0.146297954728251,0.8
"Gibert","2","KA","KA11",0.71,0.0360555127546399,0.7,0.68,0.75,0.0208166599946613,0.0507824123304787,0.7
"Gibert","2","KA","KA14",0.82,0.0529150262212918,0.8,0.78,0.88,0.0305505046330389,0.0645305197820632,0.88
"Gibert","2","KA","KA18",0.703333333333333,0.0680685928555405,0.68,0.65,0.78,0.0392994204085053,0.0967799898420006,0.78
"Gibert","2","KA","KA2",0.743333333333333,0.0513160143944689,0.73,0.7,0.8,0.0296273147243853,0.0690349969432317,0.7
"Gibert","2","KA","KA25",0.686666666666667,0.100664459136943,0.7,0.58,0.78,0.0581186525805423,0.146598726898461,0.78
"Gibert","2","KA","KA28",0.886666666666667,0.0115470053837925,0.88,0.88,0.9,0.00666666666666667,0.0130229384027735,0.88
"Gibert","2","KA","KA29",0.843333333333333,0.0929157324317756,0.8,0.78,0.95,0.0536449231314369,0.11017675782424,0.78
