Model	Trait	Sex	Population	Line	Value_re_Colinet	Value_re_Hoedjes	Value_re_Onder	SE_re_Colinet	SE_re_Hoedjes	SE_re_Onder
lmer_pop	DW	M	UM	UM29	-0.022	-0.012	-0.02	0.005	0.006	0.007
lmer_pop	DW	M	UM	UM4	-0.001	0.009	0.026	0.005	0.006	0.007
lmer_pop	DW	M	UM	UM5	-0.005	0.019	0.002	0.005	0.006	0.006
lmer_pop	DW	M	UM	UM7	0.028	-0.01	0	0.005	0.006	0.007
lmer_pop	DW	M	UM	UM8	-0.004	0.01	NA	0.005	0.006	NA
lmer_pop	DW	M	UM	UM9	0.013	0.051	0.024	0.005	0.006	0.007
lmer_pop	DW	M	VA	VA1	-0.024	-0.035	-0.033	0.005	0.006	0.006
lmer_pop	DW	M	VA	VA11	0.014	0.033	0.023	0.005	0.006	0.006
lmer_pop	DW	M	VA	VA15	0.013	0.027	0.037	0.005	0.005	0.006
lmer_pop	DW	M	VA	VA18	-0.017	-0.009	-0.032	0.005	0.006	0.006
lmer_pop	DW	M	VA	VA22	-0.028	-0.023	-0.019	0.005	0.006	0.006
lmer_pop	DW	M	VA	VA26	-0.013	-0.027	-0.002	0.005	0.006	0.006
lmer_pop	DW	M	VA	VA30	0.02	0.025	0.021	0.005	0.006	0.006
lmer_pop	DW	M	VA	VA34	0.007	-0.007	0.002	0.005	0.006	0.006
lmer_pop	DW	M	VA	VA35	-0.028	0.003	-0.025	0.005	0.006	0.006
lmer_pop	DW	M	VA	VA44	-0.012	-0.021	-0.002	0.005	0.006	0.006
